user_id,feature_name,usage_date
U0001,debit_card,2022-12-15
U0001,budget_tracker,2022-06-19
U0001,bill_pay,2022-11-28
U0002,referral_program,2023-05-10
U0002,mobile_deposit,2023-02-26
U0003,mobile_deposit,2022-10-15
U0003,referral_program,2022-12-16
U0004,bill_pay,2023-02-09
U0004,mobile_deposit,2022-10-15
U0005,referral_program,2022-06-17
U0005,budget_tracker,2022-09-06
U0005,bill_pay,2022-03-25
U0006,budget_tracker,2023-03-22
U0006,mobile_deposit,2023-03-14
U0006,bill_pay,2022-07-30
U0007,referral_program,2022-08-05
U0008,debit_card,2022-06-29
U0008,referral_program,2023-01-14
U0008,mobile_deposit,2023-01-22
U0009,budget_tracker,2022-07-27
U0009,debit_card,2022-10-12
U0010,debit_card,2023-03-07
U0011,referral_program,2023-06-16
U0012,mobile_deposit,2022-06-20
U0012,budget_tracker,2022-08-19
U0012,bill_pay,2022-05-10
U0013,bill_pay,2022-04-29
U0013,budget_tracker,2022-12-06
U0013,referral_program,2022-06-24
U0014,debit_card,2023-07-21
U0015,budget_tracker,2022-09-25
U0016,bill_pay,2023-02-10
U0016,mobile_deposit,2022-06-10
U0016,referral_program,2022-12-01
U0017,referral_program,2022-09-18
U0017,bill_pay,2022-11-14
U0018,debit_card,2023-02-01
U0019,referral_program,2023-06-15
U0020,mobile_deposit,2023-07-31
U0020,bill_pay,2023-08-01
U0021,budget_tracker,2023-07-01
U0021,debit_card,2023-02-24
U0022,mobile_deposit,2022-09-19
U0022,budget_tracker,2022-11-28
U0022,referral_program,2022-07-24
U0023,budget_tracker,2023-04-29
U0024,mobile_deposit,2023-03-15
U0024,bill_pay,2023-01-17
U0024,budget_tracker,2023-01-22
U0025,bill_pay,2023-01-25
U0026,bill_pay,2022-07-07
U0026,budget_tracker,2022-06-29
U0026,mobile_deposit,2022-08-22
U0027,mobile_deposit,2022-09-23
U0028,budget_tracker,2023-01-13
U0028,referral_program,2022-12-27
U0028,mobile_deposit,2023-01-13
U0029,debit_card,2023-05-10
U0029,budget_tracker,2023-07-10
U0029,referral_program,2023-04-03
U0030,debit_card,2022-03-02
U0030,referral_program,2022-08-26
U0031,referral_program,2022-08-12
U0032,bill_pay,2022-07-11
U0033,mobile_deposit,2022-10-10
U0033,budget_tracker,2022-11-17
U0034,mobile_deposit,2023-04-29
U0034,debit_card,2023-07-11
U0034,bill_pay,2023-07-05
U0035,debit_card,2023-01-31
U0035,budget_tracker,2023-01-15
U0035,bill_pay,2022-12-08
U0036,mobile_deposit,2022-12-03
U0036,budget_tracker,2022-12-16
U0037,mobile_deposit,2022-03-09
U0038,bill_pay,2023-01-30
U0038,budget_tracker,2023-08-13
U0038,mobile_deposit,2023-06-13
U0039,bill_pay,2022-03-07
U0039,referral_program,2022-08-16
U0040,mobile_deposit,2023-02-09
U0040,debit_card,2023-01-07
U0041,mobile_deposit,2023-07-30
U0042,referral_program,2022-10-21
U0042,debit_card,2023-03-06
U0043,bill_pay,2023-05-08
U0044,debit_card,2022-05-19
U0044,mobile_deposit,2022-11-03
U0045,budget_tracker,2022-06-04
U0045,referral_program,2022-04-18
U0046,referral_program,2023-08-03
U0047,referral_program,2022-11-21
U0047,bill_pay,2022-11-23
U0047,mobile_deposit,2023-01-30
U0048,referral_program,2023-05-19
U0049,debit_card,2022-11-19
U0049,budget_tracker,2023-01-17
U0050,mobile_deposit,2023-02-08
U0050,referral_program,2023-07-23
U0050,budget_tracker,2023-06-23
U0051,budget_tracker,2022-08-24
U0052,debit_card,2023-02-19
U0053,budget_tracker,2022-10-17
U0053,mobile_deposit,2023-04-04
U0053,bill_pay,2023-07-14
U0054,budget_tracker,2023-08-23
U0055,bill_pay,2022-08-28
U0055,debit_card,2022-04-25
U0056,referral_program,2023-04-27
U0056,debit_card,2023-07-28
U0057,referral_program,2022-06-08
U0057,debit_card,2023-01-15
U0057,mobile_deposit,2022-09-26
U0058,bill_pay,2023-05-30
U0058,referral_program,2023-02-13
U0058,debit_card,2023-02-27
U0059,mobile_deposit,2022-03-06
U0060,mobile_deposit,2022-11-18
U0060,budget_tracker,2023-05-18
U0061,budget_tracker,2022-10-28
U0061,debit_card,2022-10-04
U0061,referral_program,2022-10-04
U0062,budget_tracker,2022-08-22
U0063,budget_tracker,2023-07-16
U0064,bill_pay,2022-03-05
U0065,referral_program,2022-05-18
U0066,bill_pay,2022-07-14
U0066,budget_tracker,2022-11-12
U0067,mobile_deposit,2023-03-14
U0068,mobile_deposit,2023-01-19
U0068,bill_pay,2023-02-06
U0068,debit_card,2023-05-02
U0069,mobile_deposit,2023-04-08
U0069,bill_pay,2022-08-24
U0070,debit_card,2022-09-06
U0070,budget_tracker,2023-05-16
U0071,debit_card,2022-10-20
U0072,mobile_deposit,2022-07-06
U0073,budget_tracker,2022-11-22
U0073,debit_card,2023-05-12
U0074,budget_tracker,2023-03-16
U0075,referral_program,2023-08-26
U0076,debit_card,2023-05-02
U0076,mobile_deposit,2023-04-15
U0076,bill_pay,2023-07-23
U0077,bill_pay,2023-05-05
U0077,budget_tracker,2023-05-26
U0078,budget_tracker,2023-05-24
U0078,debit_card,2022-11-04
U0079,debit_card,2023-02-18
U0079,budget_tracker,2023-02-13
U0080,budget_tracker,2023-02-19
U0080,referral_program,2022-12-13
U0080,debit_card,2023-01-17
U0081,referral_program,2022-12-21
U0082,debit_card,2022-11-27
U0082,budget_tracker,2023-03-30
U0082,referral_program,2023-01-24
U0083,debit_card,2023-04-07
U0083,mobile_deposit,2022-11-16
U0084,referral_program,2023-06-10
U0085,debit_card,2023-07-02
U0085,budget_tracker,2023-04-11
U0085,referral_program,2023-09-24
U0086,bill_pay,2022-10-08
U0086,budget_tracker,2022-11-25
U0086,mobile_deposit,2022-12-15
U0087,debit_card,2022-12-07
U0088,mobile_deposit,2022-11-12
U0089,referral_program,2023-06-11
U0089,bill_pay,2023-05-29
U0090,referral_program,2023-01-02
U0090,debit_card,2023-03-25
U0090,bill_pay,2023-03-24
U0091,referral_program,2022-11-04
U0091,budget_tracker,2022-04-27
U0092,mobile_deposit,2023-01-11
U0092,referral_program,2022-07-05
U0092,budget_tracker,2022-10-15
U0093,debit_card,2022-10-20
U0093,referral_program,2022-04-29
U0094,referral_program,2023-04-03
U0095,bill_pay,2022-09-18
U0095,referral_program,2022-06-18
U0095,debit_card,2022-08-25
U0096,referral_program,2023-05-14
U0097,debit_card,2023-03-10
U0098,referral_program,2022-02-17
U0098,bill_pay,2022-07-26
U0099,mobile_deposit,2023-05-13
U0099,debit_card,2023-09-28
U0099,referral_program,2023-05-02
U0100,referral_program,2022-12-19
U0100,bill_pay,2022-07-05
U0101,mobile_deposit,2022-08-26
U0102,debit_card,2022-03-07
U0102,referral_program,2022-03-27
U0102,mobile_deposit,2022-05-10
U0103,referral_program,2022-12-28
U0104,budget_tracker,2022-11-25
U0104,debit_card,2022-06-22
U0105,mobile_deposit,2022-08-26
U0105,budget_tracker,2023-02-10
U0106,referral_program,2023-03-10
U0107,budget_tracker,2023-06-17
U0108,debit_card,2023-01-28
U0108,mobile_deposit,2022-09-25
U0108,bill_pay,2023-01-08
U0109,referral_program,2022-03-23
U0109,debit_card,2022-10-07
U0110,referral_program,2022-07-02
U0110,mobile_deposit,2022-11-05
U0111,debit_card,2022-07-16
U0112,budget_tracker,2023-01-09
U0113,budget_tracker,2023-07-05
U0114,bill_pay,2022-11-07
U0115,mobile_deposit,2022-11-26
U0116,budget_tracker,2022-07-21
