user_id,login_date
U0001,2023-03-17
U0001,2022-10-12
U0001,2023-04-01
U0001,2022-08-06
U0001,2023-03-27
U0001,2022-04-14
U0001,2022-06-15
U0001,2022-12-17
U0001,2022-11-30
U0001,2022-11-25
U0001,2022-05-02
U0001,2022-05-14
U0001,2023-03-12
U0001,2022-08-12
U0001,2022-05-07
U0001,2023-03-04
U0001,2022-11-10
U0001,2022-09-21
U0001,2022-12-24
U0001,2022-06-11
U0001,2022-08-05
U0001,2022-09-20
U0001,2022-11-19
U0001,2023-04-05
U0002,2022-12-27
U0002,2023-08-14
U0002,2023-05-03
U0002,2023-03-22
U0002,2023-05-11
U0002,2023-06-15
U0002,2023-02-10
U0002,2023-01-26
U0002,2023-12-04
U0002,2023-07-02
U0002,2023-01-15
U0002,2023-06-13
U0002,2022-12-17
U0002,2023-09-29
U0002,2023-05-02
U0002,2023-03-30
U0002,2023-07-21
U0002,2023-07-25
U0003,2023-01-11
U0003,2023-02-02
U0003,2023-06-20
U0003,2023-04-16
U0003,2023-06-07
U0003,2022-10-13
U0003,2023-05-12
U0003,2023-09-16
U0003,2023-05-19
U0003,2023-08-13
U0003,2023-05-05
U0003,2023-07-02
U0003,2023-06-16
U0003,2023-09-04
U0003,2023-08-30
U0003,2023-04-06
U0003,2023-04-14
U0004,2022-05-26
U0004,2022-09-26
U0004,2022-08-16
U0004,2023-01-04
U0004,2022-11-19
U0004,2023-02-23
U0004,2022-06-05
U0004,2022-07-18
U0004,2022-08-24
U0004,2023-03-04
U0004,2022-05-15
U0004,2023-04-08
U0004,2022-09-12
U0004,2023-03-11
U0004,2022-06-21
U0004,2022-11-21
U0004,2022-06-07
U0004,2023-02-16
U0004,2022-06-30
U0004,2022-11-02
U0004,2022-10-26
U0004,2022-10-23
U0004,2022-04-29
U0004,2022-12-12
U0004,2023-04-12
U0005,2022-12-08
U0005,2022-12-28
U0005,2022-04-30
U0005,2023-01-24
U0005,2022-10-08
U0005,2022-04-17
U0005,2022-07-10
U0005,2022-05-17
U0005,2023-01-22
U0005,2022-11-10
U0005,2022-04-18
U0005,2022-11-20
U0005,2022-11-11
U0005,2022-04-24
U0005,2022-05-21
U0005,2022-06-28
U0005,2022-04-21
U0005,2022-09-09
U0005,2022-03-25
U0005,2023-02-15
U0005,2022-10-03
U0005,2022-07-17
U0005,2022-05-15
U0005,2023-02-08
U0006,2023-05-11
U0006,2023-05-03
U0006,2022-08-11
U0006,2023-03-05
U0006,2022-10-13
U0006,2022-08-26
U0006,2022-12-01
U0006,2022-11-10
U0006,2023-01-13
U0006,2022-09-03
U0006,2023-06-22
U0006,2022-10-25
U0006,2022-07-13
U0006,2022-08-01
U0006,2023-02-14
U0006,2023-05-19
U0006,2023-04-28
U0006,2022-07-18
U0006,2022-12-20
U0006,2023-02-08
U0006,2022-11-11
U0006,2023-04-01
U0006,2023-04-14
U0006,2022-10-04
U0006,2022-10-30
U0006,2022-07-29
U0006,2022-12-03
U0007,2022-10-14
U0007,2022-08-26
U0007,2022-09-18
U0007,2022-09-10
U0007,2022-09-20
U0007,2022-07-30
U0007,2022-09-07
U0007,2022-03-28
U0007,2022-10-27
U0007,2022-10-17
U0007,2022-08-18
U0007,2022-02-06
U0007,2022-11-14
U0007,2022-08-29
U0007,2022-10-05
U0007,2022-10-16
U0007,2022-05-20
U0007,2022-07-18
U0007,2022-02-10
U0007,2022-02-26
U0007,2022-12-22
U0007,2022-05-09
U0007,2022-07-29
U0007,2022-04-27
U0007,2022-12-02
U0007,2022-07-04
U0008,2022-07-19
U0008,2022-09-03
U0008,2022-06-14
U0008,2022-12-11
U0008,2022-12-07
U0008,2022-08-22
U0008,2022-07-15
U0008,2022-07-13
U0008,2022-08-24
U0008,2022-08-14
U0008,2023-03-21
U0008,2022-08-09
U0008,2022-10-28
U0008,2023-01-20
U0008,2022-04-14
U0008,2022-11-10
U0008,2023-01-01
U0008,2023-03-11
U0008,2022-11-11
U0008,2022-07-09
U0008,2022-09-13
U0008,2023-03-29
U0008,2022-10-17
U0008,2022-06-13
U0008,2023-01-23
U0008,2022-07-17
U0008,2023-01-12
U0008,2022-05-24
U0008,2022-09-07
U0008,2022-12-15
U0008,2022-08-23
U0008,2023-02-04
U0008,2022-10-12
U0008,2022-10-22
U0008,2022-11-06
U0008,2022-11-30
U0008,2022-05-05
U0009,2022-07-21
U0009,2022-09-09
U0009,2023-02-18
U0009,2023-02-02
U0009,2023-03-21
U0009,2022-06-26
U0009,2022-07-07
U0009,2022-12-15
U0009,2022-05-28
U0009,2023-01-10
U0009,2022-11-15
U0009,2022-12-31
U0009,2023-03-10
U0009,2022-11-30
U0009,2022-11-08
U0009,2023-02-16
U0009,2022-12-14
U0009,2023-01-03
U0009,2022-06-27
U0009,2023-03-04
U0009,2023-04-07
U0009,2022-10-02
U0009,2022-06-24
U0009,2022-08-21
U0010,2023-02-23
U0010,2022-11-23
U0010,2023-06-24
U0010,2023-04-18
U0010,2022-08-19
U0010,2023-07-19
U0010,2023-01-16
U0010,2023-05-31
U0010,2023-05-10
U0010,2023-01-08
U0010,2023-04-09
U0010,2023-01-31
U0010,2023-02-10
U0010,2022-12-20
U0010,2022-10-20
U0010,2023-07-05
U0010,2022-09-22
U0010,2022-10-27
U0010,2023-02-02
U0010,2022-08-07
U0011,2023-10-10
